EPEA_Nro,Cruise,Year,Month,Day,Tipo_visita,Month_,Barco,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
96,PD201203,2012,7,2,Oportunista,jul,PD,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,NA,FITO,NA,NA
NA,NA,2012,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,OB201202,2012,10,12,Propia,oct,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2012,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,EH201301,2013,1,12,Oportunista,ene,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
99,OB201301,2013,1,23,Oportunista,ene,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2013,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,OB201304,2013,7,6,Propia,jul,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
101,CR201301,2013,8,8,Propia,ago,CR,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
102,OB201305,2013,9,28,Oportunista,sep,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,NA,FITO,ZOO,ICTIO
NA,NA,2013,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,EH201306,2013,12,5,Oportunista,dic,EH,Temp,Sal,NTS,NA,NA,NA,Cla,NA,NA,NA,NA,FITO,ZOO,ICTIO
104,EH201401,2014,1,17,Oportunista,ene,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,NA,FITO,ZOO,ICTIO
105,OB201401,2014,1,30,Oportunista,ene,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,NA,FITO,ZOO,ICTIO
NA,NA,2014,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,OB201402,2014,3,25,Propia,mar,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2014,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2015,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,AH201502,2015,2,9,Propia,feb,AH,Temp,NA,NTS,NA,NA,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2015,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,AH201503,2015,4,28,Propia,abr,AH,Temp,Sal,NTS,OD,NA,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2015,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2015,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2015,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2015,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,AH201505,2015,9,16,Propia,sep,AH,Temp,Sal,NTS,OD,NA,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2015,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2015,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2015,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2016,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2016,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2016,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,AH201603,2016,4,22,Propia,abr,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
111,PD201604,2016,5,11,Oportunista,may,PD,Temp,Sal,NTS,NA,pH,AT,Cla,ABSO,NA,NA,BACT,FITO,NA,NA
NA,NA,2016,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2016,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2016,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,AH201605,2016,9,1,Propia,sep,AH,Temp,Sal,NTS,NA,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
113,EH201601,2016,10,6,Oportunista,oct,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
114,AH201607,2016,10,12,Propia,oct,AH,Temp,Sal,NTS,NA,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
115,PD201606,2016,11,7,Oportunista,nov,PD,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,NA,NA
NA,NA,2016,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,EH201701,2017,2,2,Oportunista,feb,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2017,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,AH201702,2017,5,4,Propia,may,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
118,AH201703,2017,5,24,Propia,may,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
119,PD201703,2017,6,2,Oportunista,jun,PD,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,NA,PP,BACT,FITO,NA,NA
NA,NA,2017,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,AH201704,2017,8,18,Propia,ago,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
121,AH201706,2017,9,27,Propia,sep,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2017,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,AH201708,2017,11,3,Propia,nov,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2017,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,EH201801,2018,1,16,Oportunista,ene,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
124,EH201801,2018,2,7,Oportunista,feb,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
NA,NA,2018,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,VA201803,2018,4,4,Propia,abr,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
126,VA201804,2018,5,1,Oportunista,may,VA,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
127,AH201802,2018,5,17,Propia,may,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
128,AH201803,2018,6,14,Propia,jun,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
129,AH201804,2018,7,4,Propia,jul,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
130,VA201812,2018,8,19,Oportunista,ago,VA,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,NA,NA
131,AH201805,2018,9,5,Propia,sep,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
132,VA201813,2018,10,25,Oportunista,oct,VA,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,NA,FITO,ZOO,ICTIO
NA,NA,2018,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,AH201807,2018,12,4,Propia,dic,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
134,VA201815,2018,12,18,Oportunista,dic,VA,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
135,VA201901,2019,1,27,Propia,ene,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2019,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2019,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,AH201902,2019,4,7,Propia,abr,AH,Temp,Sal,NTS,OD,NA,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2019,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,VA201905,2019,6,5,Oportunista,jun,VA,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,NA,NA,ZOO,ICTIO
138,AH201903,2019,7,18,Propia,jul,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2019,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,AH201904,2019,9,11,Propia,sep,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
140,AH201905,2019,10,9,Propia,oct,AH,Temp,Sal,NTS,OD,NA,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2019,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,VA201912,2019,12,14,Propia,dic,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
142,AH202001,2020,1,30,Propia,ene,AH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2020,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,AH202002,2020,3,12,Propia,mar,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
NA,NA,2020,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,VA202001,2020,7,18,Oportunista,jul,VA,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,PP,BACT,FITO,NA,NA
NA,NA,2020,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,EH202002,2020,12,22,Oportunista,dic,EH,Temp,Sal,NTS,NA,NA,NA,Cla,NA,NA,NA,NA,NA,ZOO,ICTIO
146,VA202101,2021,1,31,Propia,ene,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
147,EH202101,2021,2,12,Oportunista,feb,EH,Temp,Sal,NA,NA,NA,NA,Cla,NA,NA,NA,NA,NA,ZOO,ICTIO
NA,NA,2021,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,VA202103,2021,6,12,Oportunista,jun,VA,Temp,Sal,NA,NA,NA,NA,Cla,ABSo,NA,NA,NA,NA,ZOO,ICTIO
149,VA202104,2021,7,15,Oportunista,jul,VA,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,NA,NA,ZOO,ICTIO
NA,NA,2021,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,VA202106,2021,10,4,Propia,oct,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
151,EH202104,2021,11,8,Oportunista,nov,EH,Temp,Sal,NTS,NA,NA,NA,Cla,NA,NA,NA,NA,NA,ZOO,ICTIO
152,VA202109,2021,12,13,Propia,dic,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2022,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2022,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,MA202204,2022,3,23,Propia,mar,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2022,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,MA202205,2022,5,5,Propia,may,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
155,MA202207,2022,6,23,Propia,jun,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2022,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,MA202211,2022,8,19,Propia,ago,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
157,EH202202,2022,9,18,Oportunista,sep,EH,Temp,Sal,NTS,NA,NA,NA,Cla,NA,NA,NA,BACT,FITO,ZOO,ICTIO
158,MA202217,2022,10,19,Propia,oct,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2022,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,MA202220,2022,12,20,Propia,dic,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2023,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2023,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,MA202302,2023,3,1,Propia,mar,MA,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2023,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,MA202307,2023,5,4,Propia,may,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
162,MA202310,2023,6,22,Propia,jun,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
163,VA202309,2023,7,31,Propia,jul,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2023,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2023,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2023,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,AH202303,2023,11,23,Propia,nov,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2023,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,VA202401,2024,1,20,Oportunista,ene,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZOO,ICTIO
166,AH202401,2024,2,8,Propia,feb,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2024,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,MA202403,2024,4,24,Propia,abr,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
168,MA202405,2024,5,28,Propia,may,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2024,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,VA202406,2024,7,1,Oportunista,jul,VA,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
170,MA202408,2024,7,18,Propia,jul,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2024,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,MA202412,2024,9,5,Propia,sep,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
172,VA202411,2024,10,19,Oportunista,oct,VA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,NA,NA,BACT,FITO,NA,NA
173,MA202417,2024,11,22,Oportunista,nov,MA,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,NA,NA
174,MA202419,2024,12,27,Propia,dic,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2025,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,MA202503,2025,2,14,Propia,feb,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2025,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,MA202506,2025,4,9,Propia,abr,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
177,MA202508,2025,5,22,Propia,may,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2025,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,MA202511,2025,7,8,Propia,jul,MA,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
179,AH202502,2025,8,22,Propia,ago,AH,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
180,VA202506,2025,9,18,Oportunista,sep,VA,Temp,Sal,NTS,NA,NA,NA,Cla,NA,NA,NA,BACT,FITO,NA,NA
181,AH202503,2025,10,22,Propia,oct,AH,Temp,Sal,NTS,NA,pH,AT,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
182,VA202508,2025,11,1,Oportunista,nov,VA,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,PP,NA,FITO,ZOO,ICTIO
183,AH202506,2025,11,29,Propia,nov,AH,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2025,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA